Row,rpd_wcrobust0405_1,rpd_wcrobust0405_10,rpd_wcrobust0405_11,rpd_wcrobust0405_12,rpd_wcrobust0405_13,rpd_wcrobust0405_14,rpd_wcrobust0405_15,rpd_wcrobust0405_16,rpd_wcrobust0405_17,rpd_wcrobust0405_18,rpd_wcrobust0405_19,rpd_wcrobust0405_2,rpd_wcrobust0405_20,rpd_wcrobust0405_21,rpd_wcrobust0405_22,rpd_wcrobust0405_23,rpd_wcrobust0405_24,rpd_wcrobust0405_25,rpd_wcrobust0405_26,rpd_wcrobust0405_27,rpd_wcrobust0405_28,rpd_wcrobust0405_29,rpd_wcrobust0405_3,rpd_wcrobust0405_30,rpd_wcrobust0405_31,rpd_wcrobust0405_32,rpd_wcrobust0405_33,rpd_wcrobust0405_34,rpd_wcrobust0405_35,rpd_wcrobust0405_36,rpd_wcrobust0405_37,rpd_wcrobust0405_38,rpd_wcrobust0405_39,rpd_wcrobust0405_4,rpd_wcrobust0405_40,rpd_wcrobust0405_41,rpd_wcrobust0405_42,rpd_wcrobust0405_43,rpd_wcrobust0405_44,rpd_wcrobust0405_45,rpd_wcrobust0405_46,rpd_wcrobust0405_47,rpd_wcrobust0405_48,rpd_wcrobust0405_49,rpd_wcrobust0405_5,rpd_wcrobust0405_50,rpd_wcrobust0405_6,rpd_wcrobust0405_7,rpd_wcrobust0405_8,rpd_wcrobust0405_9
321,0.2,0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.1,0,0.2,0.2,0.1,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2
336,0.1,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0,0.2,0.1,0.1,0.2,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0,0.2,0.2,0.2,0.1,0.1
341,0.5,0.1,0.7,0.7,0.7,0.4,0.4,0.3,0.2,0.2,0.6,0.6,0.5,0.8,0,0.6,0.9,0.8,0.9,0.6,0,0.7,0.5,0.4,0.8,0.7,0.6,0.1,0,0,0.7,0.6,0.5,0.8,0.6,0.7,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.6,0,0.7,0.7,0.5,0.9,0.4
347,0.4,0.2,0.6,0.4,0.3,0.5,0.5,0.5,0.7,0.4,0.6,0.5,0.5,0.3,0,0.4,0.6,0.5,0.5,0.7,0.2,0.6,0.4,0.3,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.7,0.4,0.3,0.5,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.1,0.4,0.5,0.5,0.5,0
350,0.2,0,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.5,0,0.4,0.7,0.1,0.8,0.8,0,0.3,0.2,0.5,0.3,0.4,0.1,0.1,0,0,0.3,0.3,0.3,0.6,0.1,0.1,0.3,0.4,0.5,0.3,0.2,0.2,0.3,0.8,0,0.7,0.4,0.2,0.8,0.2
362,0.6,0.2,0.8,0.8,0.8,0.5,0.3,0.2,0.4,0.1,0.2,0.2,0.7,0.8,0,0.8,0.8,0.1,0.9,0.9,0,0.7,0.5,0.8,0.7,0.7,0.2,0.1,0,0.5,0.5,0.6,0.6,0.8,0.5,0.5,0.6,0.8,0.8,0.7,0.7,0.7,0.9,0.7,0,0.8,0.7,0.7,0.9,0.5
363,0.8,0,0.1,0.3,0.4,1,0.8,0.8,0.6,0.7,0.7,0.7,0.8,0.1,0.2,0.7,0.9,0.6,0.9,0.3,0.2,0.7,0.8,1,0.1,0.5,0.7,1,0,0.8,0.8,0.8,0.8,0.1,0.8,0.8,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.5,0.2,0,0.6,0.8,0.9,0.9
367,0.9,0.2,0.7,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.9,0.7,0.5,0.8,0.9,0.9,0.9,0.6,0.5,0.8,0.9,0.5,0.5,0.8,0.7,0.7,0,0.8,0.9,0.9,0.9,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.3,0.1,0.8,0.9,0.9,0.5
375,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.5,0.5,0.5,0.6,0.2,0.5,0.6,0.4,0.5,0.6,0.2,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0,0.5,0.3,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.3,0.6,0.2,0.2,0.5,0.5,0.5,0.6
378,0.4,0.1,0.5,0.4,0.3,0.3,0.2,0.2,0,0,0.2,0.2,0.4,0.2,0,0.3,0.2,0.1,0.2,0.2,0,0.1,0.4,0.1,0.3,0.3,0.2,0.2,0,0,0.4,0.4,0.4,0.2,0.3,0.3,0.4,0.3,0.1,0.4,0.3,0.3,0.4,0.2,0,0.4,0.3,0.4,0.2,0
